Year,C_dbt,FishAgree,MarFisPol,FueSub,OutCon
1,NA,0,0,0,0
2,NA,0,0,0,0
3,NA,0,0,0,0
4,NA,0,0,0,0
5,NA,0,0,0,0
6,NA,0,0,0,0
7,NA,0,0,0,0
8,NA,0,0,0,0
9,NA,0,0,0,0
10,NA,0,0,0,0
11,NA,0,0,0,0
12,NA,0,0,0,0
13,NA,0,0,0,0
14,NA,0,0,0,0
15,NA,0,0,0,0
16,NA,0,0,0,0
17,NA,0,0,0,0
18,NA,0,0,0,0
19,NA,0,0,0,0
20,NA,0,0,0,0
21,NA,0,0,0,0
22,NA,0,0,0,0
23,NA,0,0,0,0
24,NA,0,0,0,0
25,NA,0,0,0,0
26,NA,0,0,0,0
27,NA,0,0,0,0
28,NA,0,0,0,0
29,NA,0,0,0,0
30,NA,0,0,0,0
31,NA,0,0,0,0
32,NA,0,0,0,0
33,NA,0,0,0,0
34,NA,0,0,0,0
35,NA,0,0,0,0
36,186591.0947,0,0,0,0
37,159910.1047,0,0,0,0
38,29025.0887,0,0,0,0
39,400129.5193,0,0,0,0
40,157996.177,0,0,0,0
41,368998.599,0,0,0,0
42,124650.689,0,0,0,0
43,391197.593,0,0,0,0
44,12181.889,0,0,0,0
45,636691.297,0,0,0,0
46,140635.32,0,0,0,0
47,-14372.771,0,0,0,0
48,457162.271,0,0,0,0
49,344154.301,0,0,0,1
50,-208440.437,2,0,0,2
51,-304693.662,3,0,0,1
52,1893.768,3,0,0,1
53,-383966.059,3,0,0,1
54,378909.27,4,0,0,1
55,250168.823,4,0,0,1
56,27477.512,4,4,0,1
57,-23205.464,4,4,0,1
58,24692.078,4,4,0,1
59,-771824.686,4,4,0,1
60,125227.27,4,4,2,1
61,550836.961,4,4,2,1
62,-233057.863,4,4,2,1
63,312096.848,4,5,2,1
64,1854149.881,4,5,2,1
