Year,CpH_bt,NotrawlZone,EcoRef,MarFisPol,SumMor,EEZ,LawEnf
1,1.267566312,0,0,0,0,0,0
2,0.686461863,0,0,0,0,0,0
3,0.518880894,0,0,0,0,0,0
4,1.063613565,0,0,0,0,0,0
5,-0.524748448,1,0,0,0,0,0
6,0.196017101,1,0,0,0,0,0
7,-1.053474845,2,0,0,0,0,0
8,-0.547244698,2,0,0,0,0,0
9,-0.044731374,2,0,0,0,0,0
10,-0.745335168,2,0,0,0,0,0
11,-0.173813659,2,0,0,0,0,0
12,-0.573831713,2,0,0,0,0,0
13,0.020490071,2,0,0,0,0,0
14,0.081695081,2,0,0,0,0,0
15,0.521459558,2,0,0,0,0,0
16,0.213760253,2,0,0,0,0,0
17,0.291493748,2,0,0,0,0,0
18,0.542580364,2,0,0,0,0,0
19,0.355940048,2,0,0,0,0,0
20,-0.04474527,2,0,0,0,0,0
21,-0.274000083,2,0,0,0,0,0
22,-0.352692786,2,0,0,0,0,0
23,-0.155776119,2,0,0,0,0,0
24,0.133065204,2,0,0,0,0,0
25,-0.728456536,2,0,0,0,0,0
26,-0.087828273,2,0,0,0,0,0
27,-0.305490381,2,0,0,0,0,0
28,-0.663843809,2,1,0,0,0,0
29,-1.404979241,2,1,0,0,0,0
30,-0.104988834,0,1,0,0,0,0
31,-1.068559747,0,1,1,0,0,0
32,-0.222032931,0,1,1,0,0,0
33,-0.122744349,0,1,2,0,0,0
34,-0.178572634,0,1,2,0,0,0
35,-0.096580997,0,1,3,0,0,0
36,0.039737491,0,1,3,0,0,0
37,-0.010901236,0,1,3,0,0,0
38,-0.03167162,0,1,3,0,0,0
39,0.050748287,0,1,3,0,0,0
40,0.012152105,0,1,3,0,0,0
41,0.03537659,0,1,3,0,0,0
42,0.026507536,0,1,3,0,0,0
43,0.065892056,0,1,3,0,0,0
44,0.053731769,0,1,3,0,0,0
45,0.115542041,0,1,3,1,0,0
46,0.040523644,0,1,3,1,1,0
47,-0.066456324,0,1,3,1,1,0
48,0.065148124,0,1,3,1,1,0
49,-0.013922701,0,1,3,1,1,0
50,-0.015641292,0,1,3,1,1,0
51,0.034073978,0,1,3,1,1,0
52,0.02732964,0,1,3,1,1,0
53,0.039567587,0,1,3,1,1,0
54,0.015838986,0,1,3,1,1,0
55,0.006303019,0,1,3,1,1,0
56,0.015490853,0,1,4,1,1,1
57,-0.058719118,0,1,4,1,1,1
58,-0.004894799,0,1,4,1,1,1
59,-0.005091649,0,1,4,1,1,1
60,0.048043576,0,1,4,1,1,4
61,0.017271935,0,1,4,1,1,5
62,-0.060865277,0,1,4,1,1,5
63,0.04858931,0,1,5,1,1,5
64,0.428425332,0,1,5,1,1,6
