Year,FIB,NotrawlZone,EcoRef,MarFisPol,EEZ,DouCon,VesScrap,FisPerReg
1,0.168412441,0,0,0,0,0,0,0
2,0.113838058,0,0,0,0,0,0,0
3,0.146172436,0,0,0,0,0,0,0
4,0.131352574,0,0,0,0,0,0,0
5,-0.105835996,1,0,0,0,0,0,0
6,0.091909246,1,0,0,0,0,0,0
7,-0.001490846,2,0,0,0,0,0,0
8,0.017176849,2,0,0,0,0,0,0
9,0.042501166,2,0,0,0,0,0,0
10,0.031765064,2,0,0,0,0,0,0
11,0.026660296,2,0,0,0,0,0,0
12,0.153437737,2,0,0,0,0,0,0
13,-0.09893666,2,0,0,0,0,0,0
14,0.012647928,2,0,0,0,0,0,0
15,0.043289206,2,0,0,0,0,0,0
16,0.019798486,2,0,0,0,0,0,0
17,0.140082312,2,0,0,0,0,0,0
18,-0.093012055,2,0,0,0,0,0,0
19,0.130168632,2,0,0,0,0,0,0
20,-0.161195864,2,0,0,0,0,0,0
21,0.06165874,2,0,0,0,0,0,0
22,0.142511691,2,0,0,0,0,0,0
23,0.028574365,2,0,0,0,0,0,0
24,-0.07106186,2,0,0,0,0,0,0
25,0.142673354,2,0,0,0,0,0,0
26,-0.121705731,2,0,0,0,0,0,0
27,-0.014827016,2,0,0,0,0,0,0
28,0.057867519,2,1,0,0,0,0,0
29,-0.013351913,2,1,0,0,0,0,0
30,0.035758689,0,1,0,0,0,0,0
31,0.185331208,0,1,1,0,0,0,0
32,-0.049808261,0,1,1,0,0,0,0
33,-0.06287227,0,1,2,0,0,0,0
34,0.143794851,0,1,2,0,0,0,0
35,-0.010323568,0,1,3,0,0,0,0
36,0.023186389,0,1,3,0,0,0,0
37,0.041991154,0,1,3,0,0,0,0
38,0.013370211,0,1,3,0,0,0,0
39,0.068666092,0,1,3,0,0,0,0
40,0.013797217,0,1,3,0,0,0,0
41,0.043617964,0,1,3,0,0,0,0
42,0.052548477,0,2,3,0,0,0,0
43,0.001127455,0,2,3,0,0,0,0
44,0.112242224,0,2,3,0,0,0,0
45,0.078772086,0,2,3,0,0,0,0
46,0.147730885,0,2,3,1,0,0,0
47,-0.133051266,0,2,3,1,1,0,0
48,0.032530963,0,2,3,2,1,0,0
49,-0.074458203,0,2,3,2,1,0,0
50,-0.010823995,0,2,3,2,1,0,0
51,0.041768379,0,2,3,2,1,0,0
52,-0.016650902,0,2,3,2,1,1,0
53,0.012371167,0,2,3,2,2,2,0
54,0.099781976,0,2,3,2,2,2,1
55,-0.097711151,0,2,3,2,2,2,1
56,0.043971461,0,2,4,2,2,2,1
57,-0.038375489,0,2,4,2,2,2,1
58,0.059767661,0,2,4,2,2,2,1
59,0.046863479,0,2,4,2,2,2,1
60,-0.000811708,0,2,4,2,2,2,1
61,0.012246705,0,2,4,2,2,2,1
62,-0.015137702,0,2,4,2,2,2,1
63,0.000184215,0,2,5,2,2,2,2
64,0.087160016,0,2,5,2,2,2,2
