Year,HpV_dbt,EcoRef,FisPerReg,MarFisPol,VesScrap,FueSub,FishAgree,FinCris,EEZ,DouCon
1,NA,0,0,0,0,0,0,0,0,0
2,NA,0,0,0,0,0,0,0,0,0
3,NA,0,0,0,0,0,0,0,0,0
4,NA,0,0,0,0,0,0,0,0,0
5,NA,0,0,0,0,0,0,0,0,0
6,NA,0,0,0,0,0,0,0,0,0
7,NA,0,0,0,0,0,0,0,0,0
8,NA,0,0,0,0,0,0,0,0,0
9,NA,0,0,0,0,0,0,0,0,0
10,NA,0,0,0,0,0,0,0,0,0
11,NA,0,0,0,0,0,0,0,0,0
12,NA,0,0,0,0,0,0,0,0,0
13,NA,0,0,0,0,0,0,0,0,0
14,NA,0,0,0,0,0,0,0,0,0
15,NA,0,0,0,0,0,0,0,0,0
16,NA,0,0,0,0,0,0,0,0,0
17,NA,0,0,0,0,0,0,0,0,0
18,NA,0,0,0,0,0,0,0,0,0
19,NA,0,0,0,0,0,0,0,0,0
20,NA,0,0,0,0,0,0,0,0,0
21,NA,0,0,0,0,0,0,0,0,0
22,NA,0,0,0,0,0,0,0,0,0
23,NA,0,0,0,0,0,0,0,0,0
24,NA,0,0,0,0,0,0,0,0,0
25,NA,0,0,0,0,0,0,0,0,0
26,NA,0,0,0,0,0,0,0,0,0
27,NA,0,0,0,0,0,0,0,0,0
28,NA,0,0,0,0,0,0,0,0,0
29,NA,0,0,0,0,0,0,0,0,0
30,NA,0,0,0,0,0,0,0,0,0
31,NA,0,0,0,0,0,0,0,0,0
32,NA,0,0,0,0,0,0,0,0,0
33,NA,0,0,0,0,0,0,0,0,0
34,NA,0,0,0,0,0,0,0,0,0
35,NA,0,0,0,0,0,0,0,0,0
36,315.4566143,0,0,0,0,0,0,0,0,0
37,-229.3741843,0,0,0,0,0,0,0,0,0
38,-86.08243,0,0,0,0,0,0,0,0,0
39,-13.6630632,0,0,0,0,0,0,0,0,0
40,69.796995,0,0,0,0,0,0,0,0,0
41,-72.1742063,0,0,0,0,0,0,0,0,0
42,495.8176604,2,0,0,0,0,0,0,0,0
43,106.5306061,2,0,0,0,0,0,0,0,0
44,244.36223,2,0,0,0,0,0,0,0,0
45,233.176724,2,0,0,0,0,0,0,0,0
46,5.242806,2,0,0,0,0,0,0,1,0
47,62.222228,2,0,0,0,0,0,0,1,1
48,-383.528045,2,0,0,0,0,0,1,2,1
49,-403.4915125,2,0,0,0,0,0,1,2,1
50,530.6098555,2,0,0,0,0,2,0,2,1
51,-229.154966,2,0,0,0,0,3,0,2,1
52,-85.496716,2,0,0,0,0,3,0,2,1
53,-209.8884619,2,0,0,2,0,3,0,2,2
54,-50.4988976,2,0,0,2,0,4,0,2,2
55,-24.8049962,2,0,0,2,0,4,0,2,2
56,-90.1533835,2,0,0,2,1,4,0,2,2
57,30.5896596,2,0,0,2,1,4,2,2,2
58,-32.1164159,2,0,0,2,1,4,2,2,2
59,-3.993335,2,0,0,2,1,4,0,2,2
60,-95.9917084,2,0,0,2,2,4,0,2,2
61,2.8298386,2,0,0,2,2,4,0,2,2
62,-28.1276487,2,0,0,2,2,4,0,2,2
63,116.4347298,2,2,5,2,2,4,0,2,2
64,90.4801149,2,2,5,2,2,4,0,2,2
65,107.7829129,2,2,5,2,3,4,0,2,2
66,-28.1659069,2,2,5,2,3,4,0,2,2
67,52.0314009,2,2,5,2,3,4,0,2,2
68,-63.1581193,2,2,5,2,3,4,0,2,2
