Year,RC_bt_eez,DouCon,EcoRef,MarFisPol,NotrawlZone,SumMor
1,0.48095679,0,0,0,0,0
2,0.17344058,0,0,0,0,0
3,-0.71276244,0,0,0,0,0
4,-2.9431093,0,0,0,0,0
5,0.72921731,0,0,0,0,0
6,0.7215823,0,0,0,0,0
7,-3.14779771,0,0,0,2,0
8,-5.33707996,0,0,0,2,0
9,-2.77098749,0,0,0,2,0
10,0.10113774,0,0,0,2,0
11,-1.44032386,0,0,0,2,0
12,-2.36010306,0,0,0,2,0
13,-0.06485177,0,0,0,2,0
14,-1.91098943,0,0,0,2,0
15,-0.92649072,0,0,0,2,0
16,-0.95157109,0,0,0,2,0
17,-0.6879162,0,0,0,2,0
18,-0.15955253,0,0,0,2,0
19,-1.0890997,0,0,0,2,0
20,-6.50536559,0,0,0,2,0
21,4.24032172,0,0,0,2,0
22,-12.51103362,0,0,0,2,0
23,0.88643565,0,0,0,2,0
24,0.0203092,0,0,0,2,0
25,6.46419844,0,0,0,2,0
26,-4.04874374,0,0,0,2,0
27,-5.43530193,0,0,0,2,0
28,4.95655407,0,1,0,2,0
29,13.32473909,0,1,0,2,0
30,-3.40016899,0,1,0,3,0
31,4.72975697,0,1,0,0,0
32,3.22220385,0,1,0,0,0
33,-1.06201248,0,1,0,0,0
34,0.70793083,0,1,0,0,0
35,2.66330278,0,1,0,0,0
36,-8.39228183,0,1,3,0,0
37,-3.26757634,0,1,3,0,0
38,2.78886765,0,1,3,0,0
39,-10.940425,0,1,3,0,0
40,0.36263928,0,1,3,0,0
41,-3.02274048,0,1,3,0,0
42,2.20583637,0,1,3,0,0
43,-4.11449235,0,1,3,0,0
44,5.21386756,0,1,3,0,0
45,-2.96607363,0,1,3,0,1
46,1.69702318,0,1,3,0,1
47,1.42500713,1,1,3,0,1
48,-2.19733147,1,1,3,0,2
49,-6.61776475,1,1,3,0,3
50,0.59491956,1,1,3,0,4
51,3.90311654,1,1,3,0,5
52,-0.64518651,1,1,3,0,5
53,-3.14314969,2,1,3,0,6
54,1.25488366,2,1,3,0,6
55,-2.07368593,2,1,3,0,6
56,0.32551007,2,1,4,0,7
57,-1.11933991,2,1,4,0,7
58,-0.23855596,2,1,4,0,7
59,3.06146128,2,1,4,0,8
60,-1.12882538,2,1,4,0,8
61,0.45863584,2,1,4,0,8
62,1.73394647,2,1,4,0,8
63,-2.31810498,2,1,5,0,8
64,-7.09789019,2,1,5,0,8
65,-1.84612089,2,1,5,0,8
66,0.10549906,2,1,5,0,8
67,0.05362813,3,1,5,0,8
68,0.02996504,3,1,5,0,8
