Year,RN_bt,NotrawlZone,DouCon,EcoRef,EEZ,FishAgree,FueSub,MarFisPol
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,-0.5,0,0,0,0,0,0,0
4,-9.1,0,0,0,0,0,0,0
5,-27.8,1,0,0,0,0,0,0
6,-27.6,1,0,0,0,0,0,0
7,-4.7,2,0,0,0,0,0,0
8,8.6,2,0,0,0,0,0,0
9,-14.3,2,0,0,0,0,0,0
10,-4.6,2,0,0,0,0,0,0
11,-2.1,2,0,0,0,0,0,0
12,-0.1,2,0,0,0,0,0,0
13,-1.9,2,0,0,0,0,0,0
14,-1.6,2,0,0,0,0,0,0
15,-2.6,2,0,0,0,0,0,0
16,-1.9,2,0,0,0,0,0,0
17,-1,2,0,0,0,0,0,0
18,-0.7,2,0,0,0,0,0,0
19,-1.7,2,0,0,0,0,0,0
20,-0.6,2,0,0,0,0,0,0
21,-0.2,2,0,0,0,0,0,0
22,-1,2,0,0,0,0,0,0
23,-0.4,2,0,0,0,0,0,0
24,-0.3,2,0,0,0,0,0,0
25,-0.1,2,0,0,0,1,0,0
26,0,2,0,0,0,1,0,0
27,0.2,2,0,0,0,1,0,0
28,-0.1,2,0,1,0,1,0,0
29,10.2,2,0,1,0,1,0,0
30,7,3,0,1,0,1,0,0
31,2.7,3,0,1,0,1,0,1
32,-0.6,3,0,1,0,1,0,1
33,-0.5,3,0,1,0,1,0,2
34,3,3,0,1,0,1,0,2
35,-0.4,3,0,1,0,1,0,3
36,-3,3,0,1,0,1,0,3
37,-0.9,3,0,1,0,1,0,3
38,-1.9,3,0,1,0,1,0,3
39,-0.1,3,0,1,0,1,0,3
40,0.3,3,0,1,0,1,0,3
41,1.5,3,0,1,0,1,0,3
42,0.8,3,0,1,0,1,0,3
43,0.4,3,0,1,0,1,0,3
44,1.1,3,0,1,0,1,0,3
45,2.5,3,0,1,0,1,0,3
46,-0.9,3,0,1,1,1,0,3
47,1.2,3,1,1,1,1,0,3
48,-0.5,3,1,1,2,1,0,3
49,-0.9,3,1,1,2,1,0,3
50,-3.1,3,1,1,2,2,0,3
51,-0.6,3,1,1,2,3,0,3
52,-0.2,3,1,1,2,3,0,3
53,-1.6,3,1,1,2,3,0,3
54,-0.6,3,1,1,2,4,0,3
55,0.5,3,1,1,2,4,0,3
56,-0.8,3,1,1,2,4,0,3
57,-0.3,3,1,1,2,4,0,3
58,-0.6,3,1,1,2,4,0,3
59,-1.2,3,1,1,2,4,0,3
60,-0.5,3,1,1,2,4,2,3
61,-0.3,3,1,1,2,4,2,3
62,3.3,3,1,1,2,4,2,3
63,-2.8,3,1,1,2,4,2,3
64,0.1,3,1,1,2,4,2,3
65,0.3,3,1,1,2,4,3,3
66,-0.2,3,1,1,2,4,3,3
67,0,3,1,1,2,4,3,3
68,2.2,3,1,1,2,4,3,3
