Policy,IBI,MDI
Agenda 21,36.36363636,3.372727273
Double Control,63.63636364,4.345454545
Economic Reform,36.36363636,10.15454545
EEZ Laws,45.45,4.145454545
Fishery Agreements,45.45454545,4.509090909
Fishery OPs,54.54545455,12.19090909
Fuel Subsidy,27.27272727,2.436363636
Law Enforcement,18.18181818,2.736363636
No-trawl Zones,36.36363636,10.10909091
Output Control,9.090909091,0.454545455
Permit Regulations,18.18181818,0.763636364
Summer Moratoria,27.27272727,1.136363636
Vessel Buyback,45.45454545,2.981818182
