,TN,THD,TH,TC,TCD,HpV,HpVD,CpH,RTN,RTH,FIB
Agenda 21,0.11,0,0.159,0.08,0,0,0,0,0,0.022,0
Double Control,0.16,0,0.157,0,0,0.002,0.08,0,0.003,0.052,0.024
Economic Reform,0.2,0.07,0.095,0,0,0.35,0.01,0.13,0.032,0.196,0.034
EEZ Laws,0.11,0,0.159,0.03,0,0,0.07,0.004,0.004,0,0.079
Fishery Agreements,0,0.12,0,0.02,0.11,0,0.17,0,0.076,0,0
Law Enforcement,0,0,0,0.29,0,0,0,0.011,0,0,0
Permit Regulations,0,0.05,0.016,0,0,0.004,0.01,0,0,0,0.004
Fuel Subsidy,0.03,0.05,0.025,0.03,0.09,0.02,0.02,0,0.003,0,0
Fishery OPs,0.03,0.05,0.128,0.4,0.31,0.09,0.01,0.07,0.027,0.136,0.09
Summer Moratoria,0,0,0,0.1,0,0,0,0.01,0,0.015,0
Vessel Buyback,0.18,0.06,0.053,0,0,0.02,0,0,0,0.013,0.002
Output Control,0,0,0,0.02,0.03,0,0,0,0,0,0
No-trawl Zones,0,0,0,0,0,0.084,0,0.158,0.627,0.125,0.118
